7n7,539773.093,6307620.515,22.857,,
7n8,539772.520,6307620.332,22.810,,
7n9,539771.827,6307620.111,22.802,,
7n10,539771.114,6307619.761,22.836,,
7n11,539770.542,6307619.451,22.886,,
7n12,539770.116,6307619.185,22.979,,
7n13,539769.818,6307618.840,23.158,,
7n14,539769.519,6307618.515,23.810,,
7n15,539768.385,6307617.383,23.902,,
8n1,539758.781,6307582.487,24.453,,
8n2,539755.965,6307585.261,23.670,,
8n3,539755.353,6307585.486,23.329,,
8n4,539754.987,6307585.868,23.037,,
8n5,539754.591,6307586.109,23.030,,
8n6,539754.052,6307586.425,23.173,,
8n7,539753.475,6307586.853,23.114,,
8n8,539753.149,6307587.126,23.345,,
8n9,539752.838,6307587.235,23.158,,
8n10,539752.409,6307587.612,23.135,,
8n11,539751.920,6307588.036,23.273,,
8n12,539751.505,6307588.174,23.656,,
8n13,539751.329,6307588.254,23.993,,
8n14,539750.155,6307589.034,24.352,,
9n1,539735.145,6307557.372,24.298,,
9n2,539734.138,6307558.050,24.131,,
9n3,539733.768,6307558.246,23.604,,
9n4,539733.425,6307558.433,23.319,,
9n5,539733.010,6307558.744,23.237,,
9n6,539732.496,6307558.924,23.143,,
9n7,539731.980,6307559.102,23.077,,
9n8,539731.547,6307559.227,23.054,,
9n9,539731.386,6307559.342,23.069,,
9n10,539730.783,6307559.601,23.652,,
9n11,539726.559,6307561.191,24.193,,
10n1,539707.012,6307545.934,24.431,,
10n2,539705.467,6307545.805,24.047,,
10n3,539704.835,6307545.762,23.501,,
10n4,539704.383,6307545.829,23.476,,
10n5,539703.808,6307545.709,23.360,,
10n6,539703.355,6307545.509,23.374,,
10n7,539702.832,6307545.515,23.453,,
10n8,539702.346,6307545.481,23.346,,
10n9,539701.975,6307545.452,23.331,,
10n10,539701.711,6307545.313,23.457,,
10n11,539701.297,6307545.109,23.605,,
10n12,539700.645,6307545.124,23.554,,
10n13,539700.161,6307545.010,23.541,,
10n14,539699.975,6307544.763,23.876,,
10n15,539699.049,6307544.546,24.263,,
11n1,539760.158,6307515.525,24.379,,
11n2,539758.092,6307515.871,24.238,,
11n3,539757.842,6307515.843,23.832,,
11n4,539757.753,6307515.889,23.598,,
11n5,539757.104,6307516.050,23.364,,
11n6,539756.564,6307516.066,23.310,,
11n7,539755.868,6307515.985,23.251,,
11n8,539755.414,6307516.038,23.220,,
11n9,539754.807,6307515.849,23.271,,
11n10,539754.427,6307515.698,23.369,,
11n11,539753.783,6307515.583,23.603,,
11n12,539753.066,6307515.807,23.615,,
11n13,539752.556,6307515.932,23.601,,
11n14,539752.354,6307515.860,23.838,,
11n15,539751.560,6307516.003,24.131,,
11n16,539749.934,6307516.226,24.303,,
12n1,539783.710,6307526.053,24.575,,
12n2,539784.936,6307526.441,24.507,,
12n3,539785.548,6307526.308,23.945,,
